"cias_cd"|"zona_cd"|"sector_cd"
"1002250101P"|"4814"|"41"
"1002250102D"|"4814"|"41"
"1002250103X"|"4814"|"41"
"1002250104B"|"4814"|"41"
"1002250105N"|"4814"|"41"
"1002250106J"|"4814"|"41"
"1002250107Z"|"4814"|"41"
"1002250201Q"|"4814"|"41"
"1002260101A"|"4912"|"42"
"1002260102G"|"4912"|"42"
"1002260103M"|"4912"|"42"
"1002260104Y"|"4912"|"42"
"1002260105F"|"4912"|"42"
"1002260106P"|"4912"|"42"
"1002260107D"|"4912"|"42"
"1002270101K"|"4815"|"41"
"1002270102E"|"4815"|"41"
"1003210102N"|"2520"|"21"
"1002270104R"|"4815"|"41"
"1003010116B"|"5412"|"51"
"1003010208B"|"5412"|"51"
"1003010101L"|"5412"|"51"
"1003010102C"|"5412"|"51"
"1003010105T"|"5412"|"51"
"1003010109G"|"5412"|"51"
"1003010110M"|"5412"|"51"
"1003010111Y"|"5412"|"51"
"1003010112F"|"5412"|"51"
"1003010114D"|"5412"|"51"
"1003010115X"|"5412"|"51"
"1003010203Y"|"5412"|"51"
"1003010206D"|"5412"|"51"
"1003010207X"|"5412"|"51"
"1003020101Z"|"5401"|"51"
"1003020102S"|"5401"|"51"
"1003020104V"|"5401"|"51"
"1003020105H"|"5401"|"51"
"1003030101D"|"2509"|"21"
"1003030102X"|"2509"|"21"
"1003030103B"|"2509"|"21"
"1003030104N"|"2509"|"21"
"1003030105J"|"2509"|"21"
"1003030106Z"|"2509"|"21"
"1003030107S"|"2509"|"21"
"1003030108Q"|"2509"|"21"
"1003030109V"|"2509"|"21"
"1003030110H"|"2509"|"21"
"1003030111L"|"2509"|"21"
"1003030201V"|"2509"|"21"
"1003030202H"|"2509"|"21"
"1003030203L"|"2509"|"21"
"1003030204C"|"2509"|"21"
"1003040101G"|"5407"|"51"
"1003040102M"|"5407"|"51"
"1003040103Y"|"5407"|"51"
"1003040104F"|"5407"|"51"
"1003040105P"|"5407"|"51"
"1003040106D"|"5407"|"51"
"1003040107X"|"5407"|"51"
"1003040108B"|"5407"|"51"
"1003040201N"|"5407"|"51"
"1003040202J"|"5407"|"51"
"1003050114N"|"5408"|"51"
"1003050101E"|"5408"|"51"
"1003050102T"|"5408"|"51"
"1003050103R"|"5408"|"51"
"1003050104W"|"5408"|"51"
"1003050105A"|"5408"|"51"
"1003050106G"|"5408"|"51"
"1003050107M"|"5408"|"51"
"1003050108Y"|"5408"|"51"
"1003050109F"|"5408"|"51"
"1003050110P"|"5408"|"51"
"1003050111D"|"5408"|"51"
"1003050112X"|"5408"|"51"
"1003050113B"|"5408"|"51"
"1003050201F"|"5408"|"51"
"1003050202P"|"5408"|"51"
"1003050203D"|"5408"|"51"
"1003050204X"|"5408"|"51"
"1003050115J"|"5408"|"51"
"1003050116Z"|"5408"|"51"
"1001010101F"|"1201"|"12"
"1001010102P"|"1201"|"12"
"1001010103D"|"1201"|"12"
"1001010104X"|"1201"|"12"
"1001020101W"|"1202"|"12"
"1001020102A"|"1202"|"12"
"1001020103G"|"1202"|"12"
"1001020104M"|"1202"|"12"
"1001020105Y"|"1202"|"12"
"1001030101C"|"1203"|"12"
"1001030102K"|"1203"|"12"
"1001030103E"|"1203"|"12"
"1001030104T"|"1203"|"12"
"1001030105R"|"1203"|"12"
"1001040101S"|"1101"|"11"
"1001040102Q"|"1101"|"11"
"1001040103V"|"1101"|"11"
"1001040104H"|"1101"|"11"
"1001040105L"|"1101"|"11"
"1001040106C"|"1101"|"11"
"1001050101X"|"1102"|"11"
"1001050102B"|"1102"|"11"
"1001050103N"|"1102"|"11"
"1001050104J"|"1102"|"11"
"1001050105Z"|"1102"|"11"
"1001050106S"|"1102"|"11"
"1001060101M"|"1204"|"12"
"1001060102Y"|"1204"|"12"
"1001060103F"|"1204"|"12"
"1001060104P"|"1204"|"12"
"1001060105D"|"1204"|"12"
"1001060106X"|"1204"|"12"
"1001060107B"|"1204"|"12"
"1001060108N"|"1204"|"12"
"1001060109J"|"1204"|"12"
"1001060110Z"|"1204"|"12"
"1001060111S"|"1204"|"12"
"1001060112Q"|"1204"|"12"
"1001060113V"|"1204"|"12"
"1001060114H"|"1204"|"12"
"1001060201J"|"1204"|"12"
"1001060202Z"|"1204"|"12"
"1001070101T"|"1205"|"12"
"1001070102R"|"1205"|"12"
"1001070103W"|"1205"|"12"
"1001070105G"|"1205"|"12"
"1001080101H"|"1206"|"12"
"1001080102L"|"1206"|"12"
"1001080103C"|"1206"|"12"
"1001090101J"|"1111"|"11"
"1001090102Z"|"1111"|"11"
"1001090103S"|"1111"|"11"
"1004060113N"|"3603"|"31"
"1001090105V"|"1111"|"11"
"1001100101P"|"1103"|"11"
"1001100102D"|"1103"|"11"
"1001100103X"|"1103"|"11"
"1001100104B"|"1103"|"11"
"1001110101A"|"1207"|"12"
"1001110102G"|"1207"|"12"
"1001110103M"|"1207"|"12"
"1001110104Y"|"1207"|"12"
"1001110105F"|"1207"|"12"
"1001110106P"|"1207"|"12"
"1001110107D"|"1207"|"12"
"1001110108X"|"1207"|"12"
"1001110109B"|"1207"|"12"
"1001110201B"|"1207"|"12"
"1001120101K"|"1104"|"11"
"1001120102E"|"1104"|"11"
"1001120103T"|"1104"|"11"
"1001130101Q"|"1208"|"12"
"1001130102V"|"1208"|"12"
"1001130103H"|"1208"|"12"
"1001130104L"|"1208"|"12"
"1001130105C"|"1208"|"12"
"1001140101B"|"1209"|"12"
"1001140102N"|"1209"|"12"
"1001140103J"|"1209"|"12"
"1001140104Z"|"1209"|"12"
"1001140105S"|"1209"|"12"
"1001140107V"|"1209"|"12"
"1001140108H"|"1209"|"12"
"1001140109L"|"1209"|"12"
"1001140110C"|"1209"|"12"
"1001140201L"|"1209"|"12"
"1001140202C"|"1209"|"12"
"1001140106Q"|"1209"|"12"
"1001150101Y"|"1210"|"12"
"1001150102F"|"1210"|"12"
"1001150103P"|"1210"|"12"
"1001150104D"|"1210"|"12"
"1001150105X"|"1210"|"12"
"1001150106B"|"1210"|"12"
"1001150107N"|"1210"|"12"
"1001150108J"|"1210"|"12"
"1001160101R"|"1105"|"11"
"1001160102W"|"1105"|"11"
"1001160103A"|"1105"|"11"
"1001160104G"|"1105"|"11"
"1001160105M"|"1105"|"11"
"1001160106Y"|"1105"|"11"
"1001160107F"|"1105"|"11"
"1001170101L"|"1106"|"11"
"1001170102C"|"1106"|"11"
"1001170103K"|"1106"|"11"
"1001180101Z"|"1109"|"11"
"1001180102S"|"1109"|"11"
"1001180103Q"|"1109"|"11"
"1001180104V"|"1109"|"11"
"1001180105H"|"1109"|"11"
"1001180106L"|"1109"|"11"
"1001180107C"|"1109"|"11"
"1001180108K"|"1109"|"11"
"1001180109E"|"1109"|"11"
"1001180110T"|"1109"|"11"
"1001180111R"|"1109"|"11"
"1001190101D"|"1110"|"11"
"1001190102X"|"1110"|"11"
"1001190103B"|"1110"|"11"
"1001190104N"|"1110"|"11"
"1001190105J"|"1110"|"11"
"1001190106Z"|"1110"|"11"
"1001190107S"|"1110"|"11"
"1001190108Q"|"1110"|"11"
"1001190109V"|"1110"|"11"
"1001190110H"|"1110"|"11"
"1001190201V"|"1110"|"11"
"1001190202H"|"1110"|"11"
"1001200101G"|"1211"|"12"
"1001200102M"|"1211"|"12"
"1001200103Y"|"1211"|"12"
"1001210101E"|"1213"|"12"
"1001210102T"|"1213"|"12"
"1001210103R"|"1213"|"12"
"1001210104W"|"1213"|"12"
"1001210105A"|"1213"|"12"
"1001210110P"|"1213"|"12"
"1001210201F"|"1213"|"12"
"1001210202P"|"1213"|"12"
"1001210109F"|"1213"|"12"
"1001220101V"|"1107"|"11"
"1001220102H"|"1107"|"11"
"1001220103L"|"1107"|"11"
"1001220104C"|"1107"|"11"
"1001220105K"|"1107"|"11"
"1001220106E"|"1107"|"11"
"1001220201W"|"1107"|"11"
"1001220202A"|"1107"|"11"
"1001220107T"|"1107"|"11"
"1001230101N"|"1112"|"11"
"1001230102J"|"1112"|"11"
"1001230103Z"|"1112"|"11"
"1001230104S"|"1112"|"11"
"1001230105Q"|"1112"|"11"
"1001230106V"|"1112"|"11"
"1001230201C"|"1112"|"11"
"1001240110Q"|"1108"|"11"
"1001240101F"|"1108"|"11"
"1001240102P"|"1108"|"11"
"1001240103D"|"1108"|"11"
"1001240104X"|"1108"|"11"
"1001240105B"|"1108"|"11"
"1001240106N"|"1108"|"11"
"1001240107J"|"1108"|"11"
"1001240109S"|"1108"|"11"
"1001240201S"|"1108"|"11"
"1001240202Q"|"1108"|"11"
"1001250101W"|"1114"|"11"
"1001250102A"|"1114"|"11"
"1001250103G"|"1114"|"11"
"1001250105Y"|"1114"|"11"
"1001250106F"|"1114"|"11"
"1001250107P"|"1114"|"11"
"1001250108D"|"1114"|"11"
"1001250109X"|"1114"|"11"
"1001250201X"|"1114"|"11"
"1001260101C"|"1113"|"11"
"1001260102K"|"1113"|"11"
"1001260103E"|"1113"|"11"
"1001260104T"|"1113"|"11"
"1001260105R"|"1113"|"11"
"1001260106W"|"1113"|"11"
"1001260201M"|"1113"|"11"
"1001260107A"|"1113"|"11"
"1001270104H"|"1214"|"12"
"1001270105L"|"1214"|"12"
"1001270106C"|"1214"|"12"
"1001270107K"|"1214"|"12"
"1001270108E"|"1214"|"12"
"1001270101S"|"1214"|"12"
"1001270102Q"|"1214"|"12"
"1001270103V"|"1214"|"12"
"1001280101X"|"1215"|"12"
"1001280102B"|"1215"|"12"
"1001280103N"|"1215"|"12"
"1001280104J"|"1215"|"12"
"1001280105Z"|"1215"|"12"
"1001280106S"|"1215"|"12"
"1004070109A"|"3710"|"32"
"1003130176B"|"2522"|"21"
"1001210106G"|"1213"|"12"
"1002010101J"|"4801"|"41"
"1002010102Z"|"4801"|"41"
"1002010103S"|"4801"|"41"
"1002010104Q"|"4801"|"41"
"1002010105V"|"4801"|"41"
"1002010106H"|"4801"|"41"
"1002010107L"|"4801"|"41"
"1002020101P"|"4901"|"42"
"1002020102D"|"4901"|"42"
"1002020103X"|"4901"|"42"
"1002020104B"|"4901"|"42"
"1002020105N"|"4901"|"42"
"1002020106J"|"4901"|"42"
"1002020107Z"|"4901"|"42"
"1002020108S"|"4901"|"42"
"1002020109Q"|"4901"|"42"
"1002020110V"|"4901"|"42"
"1002020111H"|"4901"|"42"
"1002020112L"|"4901"|"42"
"1002020201Q"|"4901"|"42"
"1002040101K"|"4902"|"42"
"1002040102E"|"4902"|"42"
"1002040103T"|"4902"|"42"
"1002040104R"|"4902"|"42"
"1002040105W"|"4902"|"42"
"1002040106A"|"4902"|"42"
"1002050101Q"|"4802"|"41"
"1002050102V"|"4802"|"41"
"1002050103H"|"4802"|"41"
"1002050104L"|"4802"|"41"
"1002050105C"|"4802"|"41"
"1002060101B"|"4803"|"41"
"1002060102N"|"4803"|"41"
"1002060103J"|"4803"|"41"
"1002070101Y"|"4903"|"42"
"1002070102F"|"4903"|"42"
"1002070103P"|"4903"|"42"
"1002070104D"|"4903"|"42"
"1002070105X"|"4903"|"42"
"1002070106B"|"4903"|"42"
"1002070107N"|"4903"|"42"
"1002070108J"|"4903"|"42"
"1002070201Z"|"4903"|"42"
"1002080101R"|"4804"|"41"
"1002080102W"|"4804"|"41"
"1002080104G"|"4804"|"41"
"1002090101L"|"4904"|"42"
"1002090102C"|"4904"|"42"
"1002090103K"|"4904"|"42"
"1002090104E"|"4904"|"42"
"1002090105T"|"4904"|"42"
"1002100101Z"|"4805"|"41"
"1002100102S"|"4805"|"41"
"1002100103Q"|"4805"|"41"
"1002100104V"|"4805"|"41"
"1002100105H"|"4805"|"41"
"1002100106L"|"4805"|"41"
"1002100107C"|"4805"|"41"
"1003250121B"|"2517"|"21"
"1002100109E"|"4805"|"41"
"1002100110T"|"4805"|"41"
"1002100111R"|"4805"|"41"
"1002100112W"|"4805"|"41"
"1002110101D"|"4905"|"42"
"1002110102X"|"4905"|"42"
"1002110103B"|"4905"|"42"
"1002110104N"|"4905"|"42"
"1002110105J"|"4905"|"42"
"1002120101G"|"4906"|"42"
"1002120102M"|"4906"|"42"
"1002120103Y"|"4906"|"42"
"1002120104F"|"4906"|"42"
"1001210107M"|"1213"|"12"
"1002120106D"|"4906"|"42"
"1002130101E"|"4813"|"41"
"1002130102T"|"4813"|"41"
"1002130103R"|"4813"|"41"
"1002130104W"|"4813"|"41"
"1002130105A"|"4813"|"41"
"1002130106G"|"4813"|"41"
"1002130107M"|"4813"|"41"
"1002130108Y"|"4813"|"41"
"1002130109F"|"4813"|"41"
"1002130110P"|"4813"|"41"
"1002130112X"|"4813"|"41"
"1002130113B"|"4813"|"41"
"1002130114N"|"4813"|"41"
"1002130201F"|"4813"|"41"
"1002130202P"|"4813"|"41"
"1002130203D"|"4813"|"41"
"1002130111D"|"4813"|"41"
"1002140101V"|"4806"|"41"
"1002140102H"|"4806"|"41"
"1002140103L"|"4806"|"41"
"1002150101N"|"4807"|"41"
"1002150102J"|"4807"|"41"
"1002150103Z"|"4807"|"41"
"1002150104S"|"4807"|"41"
"1002160101F"|"4909"|"42"
"1002160102P"|"4909"|"42"
"1002160103D"|"4909"|"42"
"1002160104X"|"4909"|"42"
"1002160105B"|"4909"|"42"
"1002160106N"|"4909"|"42"
"1002160107J"|"4909"|"42"
"1002160108Z"|"4909"|"42"
"1002170101W"|"4910"|"42"
"1002170102A"|"4910"|"42"
"1002170103G"|"4910"|"42"
"1002170104M"|"4910"|"42"
"1002170105Y"|"4910"|"42"
"1002180101C"|"4808"|"41"
"1002180102K"|"4808"|"41"
"1002180103E"|"4808"|"41"
"1002180104T"|"4808"|"41"
"1002180105R"|"4808"|"41"
"1002180106W"|"4808"|"41"
"1002180107A"|"4808"|"41"
"1002180108G"|"4808"|"41"
"1002190101S"|"4809"|"41"
"1002190102Q"|"4809"|"41"
"1003030112C"|"2509"|"21"
"1002190104H"|"4809"|"41"
"1002190105L"|"4809"|"41"
"1002200101X"|"4810"|"41"
"1002200102B"|"4810"|"41"
"1002200103N"|"4810"|"41"
"1002210101M"|"4911"|"42"
"1002210103F"|"4911"|"42"
"1002210104P"|"4911"|"42"
"1002210105D"|"4911"|"42"
"1002220101T"|"4811"|"41"
"1002220102R"|"4811"|"41"
"1002220103W"|"4811"|"41"
"1002220104A"|"4811"|"41"
"1002220105G"|"4811"|"41"
"1002230101H"|"4812"|"41"
"1002230102L"|"4812"|"41"
"1002230103C"|"4812"|"41"
"1002230104K"|"4812"|"41"
"1002230105E"|"4812"|"41"
"1002240102Z"|"4817"|"41"
"1004050107B"|"3614"|"31"
"1004050108N"|"3614"|"31"
"1004050109J"|"3614"|"31"
"1004050204Q"|"3614"|"31"
"1004060101T"|"3603"|"31"
"1004060102R"|"3603"|"31"
"1004060103W"|"3603"|"31"
"1004060104A"|"3603"|"31"
"1004060105G"|"3603"|"31"
"1004060106M"|"3603"|"31"
"1004060107Y"|"3603"|"31"
"1004060108F"|"3603"|"31"
"1004060109P"|"3603"|"31"
"1004060111X"|"3603"|"31"
"1004060112B"|"3603"|"31"
"1004060201P"|"3603"|"31"
"1004070101H"|"3710"|"32"
"1004070102L"|"3710"|"32"
"1004070104K"|"3710"|"32"
"1004070106T"|"3710"|"32"
"1004070107R"|"3710"|"32"
"1004070108W"|"3710"|"32"
"1004070201A"|"3710"|"32"
"1004070103C"|"3710"|"32"
"1004080101J"|"3704"|"32"
"1004080102Z"|"3704"|"32"
"1001250202B"|"1114"|"11"
"1004080104Q"|"3704"|"32"
"1004080105V"|"3704"|"32"
"1004080106H"|"3704"|"32"
"1004080108C"|"3704"|"32"
"1004080109K"|"3704"|"32"
"1004080110E"|"3704"|"32"
"1004080111T"|"3704"|"32"
"1004080112R"|"3704"|"32"
"1004080113W"|"3704"|"32"
"1004080114A"|"3704"|"32"
"1004080201K"|"3704"|"32"
"1004080107L"|"3704"|"32"
"1004090101P"|"3609"|"31"
"1004090102D"|"3609"|"31"
"1004090103X"|"3609"|"31"
"1004090104B"|"3609"|"31"
"1004090105N"|"3609"|"31"
"1004090106J"|"3609"|"31"
"1004090107Z"|"3609"|"31"
"1004090108S"|"3609"|"31"
"1004090109Q"|"3609"|"31"
"1004090110V"|"3609"|"31"
"1004100101A"|"3604"|"31"
"1004100102G"|"3604"|"31"
"1004100103M"|"3604"|"31"
"1004100105F"|"3604"|"31"
"1004100106P"|"3604"|"31"
"1004100107D"|"3604"|"31"
"1004100108X"|"3604"|"31"
"1004100201B"|"3604"|"31"
"1004110101K"|"3705"|"32"
"1004110102E"|"3705"|"32"
"1004110103T"|"3705"|"32"
"1004110104R"|"3705"|"32"
"1004110105W"|"3705"|"32"
"1004110106A"|"3705"|"32"
"1004110107G"|"3705"|"32"
"1004110108M"|"3705"|"32"
"1004120101Q"|"3613"|"31"
"1004120102V"|"3613"|"31"
"1004120103H"|"3613"|"31"
"1004120104L"|"3613"|"31"
"1004120105C"|"3613"|"31"
"1004120106K"|"3613"|"31"
"1004120107E"|"3613"|"31"
"1004120108T"|"3613"|"31"
"1004120109R"|"3613"|"31"
"1004120110W"|"3613"|"31"
"1004120111A"|"3613"|"31"
"1004120112G"|"3613"|"31"
"1004120113M"|"3613"|"31"
"1004120201R"|"3613"|"31"
"1004120204G"|"3613"|"31"
"1004120114Y"|"3613"|"31"
"1004120202W"|"3613"|"31"
"1004130101B"|"3612"|"31"
"1004130102N"|"3612"|"31"
"1004130103J"|"3612"|"31"
"1004130104Z"|"3612"|"31"
"1004130105S"|"3612"|"31"
"1004130106Q"|"3612"|"31"
"1004130107V"|"3612"|"31"
"1004130108H"|"3612"|"31"
"1004130109L"|"3612"|"31"
"1004130110C"|"3612"|"31"
"1004130111K"|"3612"|"31"
"1004130112E"|"3612"|"31"
"1004130113T"|"3612"|"31"
"1004130114R"|"3612"|"31"
"1004130201L"|"3612"|"31"
"1004130202C"|"3612"|"31"
"1004130203K"|"3612"|"31"
"1004130204E"|"3612"|"31"
"1004140101Y"|"3301"|"31"
"1004140102F"|"3301"|"31"
"1004140104D"|"3301"|"31"
"1004140105X"|"3301"|"31"
"1004140106B"|"3301"|"31"
"1004140107N"|"3301"|"31"
"1004140108J"|"3301"|"31"
"1004140109Z"|"3301"|"31"
"1004140201Z"|"3301"|"31"
"1004140202S"|"3301"|"31"
"1004140103P"|"3301"|"31"
"1004150101R"|"3605"|"31"
"1004150102W"|"3605"|"31"
"1004150103A"|"3605"|"31"
"1004150104G"|"3605"|"31"
"1004150105M"|"3605"|"31"
"1004150106Y"|"3605"|"31"
"1004150107F"|"3605"|"31"
"1004160101L"|"3606"|"31"
"1004160102C"|"3606"|"31"
"1004160103K"|"3606"|"31"
"1004160104E"|"3606"|"31"
"1004160105T"|"3606"|"31"
"1004160106R"|"3606"|"31"
"1004170101Z"|"3610"|"31"
"1004170102S"|"3610"|"31"
"1004170103Q"|"3610"|"31"
"1004170104V"|"3610"|"31"
"1004180101D"|"3706"|"32"
"1004180102X"|"3706"|"32"
"1004180103B"|"3706"|"32"
"1004180104N"|"3706"|"32"
"1004180105J"|"3706"|"32"
"1004180106Z"|"3706"|"32"
"1004180107S"|"3706"|"32"
"1004190101G"|"3602"|"31"
"1004190102M"|"3602"|"31"
"1004190103Y"|"3602"|"31"
"1004190104F"|"3602"|"31"
"1004190105P"|"3602"|"31"
"1004190106D"|"3602"|"31"
"1004190107X"|"3602"|"31"
"1004190108B"|"3602"|"31"
"1004190109N"|"3602"|"31"
"1004190201N"|"3602"|"31"
"1004200101E"|"3611"|"31"
"1004200102T"|"3611"|"31"
"1004200103R"|"3611"|"31"
"1004200104W"|"3611"|"31"
"1004200105A"|"3611"|"31"
"1004210101V"|"3707"|"32"
"1004210102H"|"3707"|"32"
"1004210103L"|"3707"|"32"
"1004210104C"|"3707"|"32"
"1004210105K"|"3707"|"32"
"1004210106E"|"3707"|"32"
"1004210107T"|"3707"|"32"
"1004230101F"|"3616"|"31"
"1004230102P"|"3616"|"31"
"1004230103D"|"3616"|"31"
"1004230105B"|"3616"|"31"
"1004230106N"|"3616"|"31"
"1004230107J"|"3616"|"31"
"1004230108Z"|"3616"|"31"
"1004230109S"|"3616"|"31"
"1004230201S"|"3616"|"31"
"1004230202Q"|"3616"|"31"
"1004230204H"|"3616"|"31"
"1004240101W"|"3302"|"31"
"1004240102A"|"3302"|"31"
"1004240103G"|"3302"|"31"
"1004240104M"|"3302"|"31"
"1004240105Y"|"3302"|"31"
"1004240106F"|"3302"|"31"
"1001160201D"|"1105"|"11"
"1004250102K"|"3711"|"32"
"1004250103E"|"3711"|"32"
"1004250104T"|"3711"|"32"
"1004250105R"|"3711"|"32"
"1004260101S"|"3303"|"31"
"1004260102Q"|"3303"|"31"
"1004260103V"|"3303"|"31"
"1004260104H"|"3303"|"31"
"1004270101X"|"3607"|"31"
"1004270103N"|"3607"|"31"
"1004270104J"|"3607"|"31"
"1004270105Z"|"3607"|"31"
"1004270106S"|"3607"|"31"
"1004270107Q"|"3607"|"31"
"1004270108V"|"3607"|"31"
"1004270109H"|"3607"|"31"
"1004270110L"|"3607"|"31"
"1004270111C"|"3607"|"31"
"1004270112K"|"3607"|"31"
"1004270201H"|"3607"|"31"
"1004270202L"|"3607"|"31"
"1004270102B"|"3607"|"31"
"1004280101M"|"3304"|"31"
"1004280102Y"|"3304"|"31"
"1004280103F"|"3304"|"31"
"1004280104P"|"3304"|"31"
"1004280105D"|"3304"|"31"
"1004280106X"|"3304"|"31"
"1004280201J"|"3304"|"31"
"1004290102R"|"3615"|"31"
"1004290103W"|"3615"|"31"
"1004290104A"|"3615"|"31"
"1004290105G"|"3615"|"31"
"1004290106M"|"3615"|"31"
"1004290107Y"|"3615"|"31"
"1004290108F"|"3615"|"31"
"1004290109P"|"3615"|"31"
"1004290110D"|"3615"|"31"
"1004290111X"|"3615"|"31"
"1004290112B"|"3615"|"31"
"1004290113N"|"3615"|"31"
"1004290114J"|"3615"|"31"
"1004290115Z"|"3615"|"31"
"1004290201P"|"3615"|"31"
"1004290202D"|"3615"|"31"
"1004290203X"|"3615"|"31"
"1004290116S"|"3615"|"31"
"1004290117Q"|"3615"|"31"
"1004300101H"|"3608"|"31"
"1004300102L"|"3608"|"31"
"1004300103C"|"3608"|"31"
"1004300104K"|"3608"|"31"
"1004300105E"|"3608"|"31"
"1004300201A"|"3608"|"31"
"1004300106T"|"3608"|"31"
"1004310101J"|"3617"|"31"
"1004310102Z"|"3617"|"31"
"1004310103S"|"3617"|"31"
"1004310201K"|"3617"|"31"
"1004310104Q"|"3617"|"31"
"1004320101P"|"3709"|"32"
"1004320102D"|"3709"|"32"
"1001140203K"|"1209"|"12"
"1004320104B"|"3709"|"32"
"1004330101A"|"3618"|"31"
"1004330102G"|"3618"|"31"
"1004330103M"|"3618"|"31"
"1004330104Y"|"3618"|"31"
"1004330201B"|"3618"|"31"
"1004330105F"|"3618"|"31"
"1004300202G"|"3608"|"31"
"1001240111V"|"1108"|"11"
"1003090201X"|"2521"|"21"
