cluster,cluster2,cluster3
51.0,0,3
61.0,0,3
37.0,1,17
69.0,1,17
5.0,2,1
10.0,2,1
49.0,3,0
62.0,3,0
40.0,4,6
71.0,4,6
56.0,5,1
67.0,5,1
74.0,6,11
93.0,6,11
30.0,7,4
95.0,7,4
13.0,8,2
52.0,8,2
41.0,9,5
94.0,9,5
38.0,10,9
72.0,10,9
50.0,11,8
85.0,11,8
21.0,12,7
33.0,12,7
2.0,13,2
9.0,13,2
7.0,14,4
22.0,14,4
35.0,15,3
98.0,15,3
4.0,16,7
66.0,16,7
23.0,17,18
32.0,17,18
11.0,18,10
92.0,18,10
46.0,19,6
58.0,19,6
47.0,20,15
96.0,20,15
0.0,21,5
63.0,21,5
34.0,22,12
64.0,22,12
53.0,23,10
83.0,23,10
31.0,24,12
45.0,24,12
42.0,25,8
90.0,25,8
6.0,26,0
28.0,26,0
57.0,27,11
87.0,27,11
79.0,28,9
89.0,28,9
18.0,29,14
78.0,29,14
27.0,30,20
39.0,30,20
3.0,31,19
82.0,31,19
60.0,32,15
91.0,32,15
17.0,33,20
76.0,33,20
88.0,34,17
97.0,34,17
77.0,35,22
81.0,35,22
24.0,36,14
55.0,36,14
19.0,37,21
20.0,37,21
25.0,38,19
48.0,38,19
44.0,39,16
59.0,39,16
1.0,40,18
84.0,40,18
15.0,41,13
70.0,41,13
43.0,42,24
54.0,42,24
65.0,43,21
80.0,43,21
8.0,44,24
99.0,44,24
14.0,45,23
73.0,45,23
29.0,46,23
68.0,46,23
26.0,47,22
75.0,47,22
16.0,48,16
36.0,48,16
12.0,49,13
86.0,49,13
